tumor	Signature_APOBEC_ml	Signature_3_ml	Signature_8_ml	Signature_17_ml	Signature_clock_ml	Signature_3_c	exp_sig3	Signature_3_l_rat	Signature_3_mva
PD36051a	0.07079756	0.40410744	0.1233907	0.09197131	0.3097329956	0.04290263077	0	0	0.1173409736
PD36052a	0.01782078	0.62939044	0.07098127	0.03481007	0.2469972952	0.1521379382	0	0	0.2132747094
PD36053a	0.4598310693	0.25259263	0.05523019	0.15106406	0.08128201	0.0747349045	0	0	0.05789869189
PD36054a	0.4598310693	0.25259263	0.05523019	0.15106406	0.08128201	0.0747349045	0	0	0.05789869189
PD36055a	0.02944582	0.21776363	0.158294	0.05935342	0.5351431858	0.0512428786	0	0	0.08493141149
PD36056a	0.3418301458	0.5993847	0	0.02100525	0.03777987	0.2285630918	1.125803402	0.5337965749	0.2188178174
PD36057a	0.05176357	0.42000796	0.1108582	0.12000124	0.2973690406	0.1647790308	0.9944412988	0.6842778354	0.139021241
PD36058a	0.5734380913	0.418444373	0	0.001816983	0.006300476	0.3192106851	0	0	0.3569504575
PD36060a	0.04689064	0.6916652	0.08553319	0.01924507	0.1566659031	0.3231232586	1.180920183	0.6906221456	0.6154973468
PD36063a	0.02987778	0.45201594	0.09765402	0.09973143	0.320720821	0.1571137296	0	0	0.1481382625
PD36064a	0.03863433	0.23953157	0.07979217	0.47788166	0.1641602168	0.1643335931	0.9828882282	0.5046361772	0.1045076824
PD36066a	0.6211880792	0.3052562	0	0.04487876	0.02867694	0.1749954246	0	0	0.07685674591
PD36067a	0.1494807	0.36648331	0.06361272	0.1480437	0.27237961	0.1306742301	0	0	0.1101454319
PD36068a	0	0.44279538	0.132828	0.19036876	0.2340078286	0.08800685554	0	0	0.1321067783
PD36069a	0.05396144	0.18772601	0.120581	0.02377053	0.6139609845	0.2021409821	0	0	0.07979755989
PD36070a	0.05964863	0.35293078	0.1297873	0.04663729	0.41099609	0.1615130601	0	0	0.117876367
PD36071a	0.7712013379	0.15914512	0	0.04738383	0.02226968	0.06543395344	0	0	0.0589163055
PD36073a	0.4598310693	0.25259263	0.05523019	0.15106406	0.08128201	0.0747349045	0	0	0.05789869189
